temperatura_agua_C,oxigenio_dissolvido_mgL,racao_diaria_g,dias_desde_criacao,densidade_tanque_pm3,ph_agua,peso_g
22.5,5.93,28.3,342,8.7,7.25,315.1
29.4,7.71,27.3,357,25.2,8.25,269.9
26.8,9.36,73.4,36,21.2,8.31,76.2
25.2,8.66,27.5,235,9.2,7.49,230.7
19.9,9.03,29.0,143,39.3,7.16,89.7
19.9,8.29,63.2,301,12.5,6.71,319.0
18.7,8.46,41.5,112,7.4,8.41,137.2
28.4,9.25,64.4,208,25.8,6.62,230.3
25.2,6.25,14.6,239,30.9,7.1,148.7
26.5,7.45,44.1,357,6.1,7.1,374.4
18.2,6.11,12.4,153,28.1,7.14,62.2
29.6,9.94,14.4,142,23.6,6.83,85.4
28.0,9.72,73.5,41,8.6,8.07,130.5
20.5,5.2,19.7,155,11.0,6.74,119.1
20.2,8.53,47.3,82,24.9,7.77,76.1
20.2,9.63,38.8,360,15.4,6.75,368.4
21.7,5.9,34.3,312,37.8,6.64,196.4
24.3,7.84,73.0,169,33.7,8.32,144.2
23.2,9.58,11.5,126,39.4,6.88,63.6
21.5,5.17,56.5,34,14.1,8.14,66.5
25.3,8.49,77.4,86,38.9,7.59,69.3
19.7,6.49,49.2,363,20.1,6.66,303.3
21.5,9.62,75.6,98,17.2,8.41,150.7
22.4,9.86,13.7,147,6.8,6.99,176.9
23.5,9.72,39.3,88,6.8,8.22,170.2
27.4,7.37,28.2,62,29.2,6.84,50.0
20.4,9.31,61.2,347,21.0,8.21,356.7
24.2,9.22,78.7,79,12.9,6.53,178.1
25.1,6.6,28.0,48,26.5,7.52,78.2
18.6,9.14,55.8,243,13.9,8.04,240.2
25.3,5.19,23.9,226,25.2,8.37,126.8
20.0,7.98,49.6,76,17.6,8.32,104.9
18.8,6.15,42.5,196,33.8,8.14,147.3
29.4,5.6,78.0,318,33.7,8.28,211.5
29.6,5.38,52.6,170,21.7,6.9,141.0
27.7,8.48,34.5,113,17.3,7.07,113.2
21.7,6.7,18.0,211,17.7,7.08,181.5
19.2,8.62,20.6,108,33.2,7.25,57.9
26.2,5.33,25.8,244,16.5,7.29,241.2
23.3,6.58,27.6,43,12.3,7.59,69.4
19.5,7.7,69.5,244,8.0,6.82,322.7
23.9,8.95,49.3,157,21.3,7.88,170.6
18.4,6.59,46.6,339,21.9,6.84,305.0
28.9,8.13,18.0,277,34.4,7.12,187.0
21.1,9.43,70.2,58,12.7,7.51,191.9
26.0,8.08,60.6,309,18.3,8.09,266.0
21.7,6.16,14.7,348,33.3,7.98,190.7
24.2,5.12,59.5,231,33.8,7.79,228.6
24.6,9.35,48.0,86,18.5,6.81,117.3
20.2,5.11,15.7,247,21.1,7.59,152.5
29.6,9.37,42.1,91,15.6,6.67,93.7
27.3,7.64,43.9,186,37.6,7.25,162.5
29.3,9.7,21.6,231,9.2,7.33,203.2
28.7,8.99,76.2,46,37.7,6.58,54.0
25.2,9.99,69.5,351,28.9,7.05,342.3
29.1,6.75,56.8,35,23.6,8.41,58.3
19.1,8.84,42.4,87,6.1,8.41,112.2
20.4,7.01,38.8,354,21.6,7.2,314.8
18.5,7.4,55.6,347,19.3,6.59,279.5
21.9,8.14,48.2,198,10.6,6.86,290.0
22.7,9.37,14.4,111,28.0,7.28,83.4
21.3,9.92,45.9,248,39.0,8.4,179.8
27.9,8.84,66.4,206,24.7,6.78,256.5
22.3,7.09,42.1,233,30.0,8.03,164.7
21.4,7.11,13.6,100,7.4,6.72,151.2
24.5,8.69,65.0,295,19.6,8.46,286.9
19.7,6.19,24.1,127,9.1,7.26,149.0
27.6,5.55,28.1,320,26.4,8.05,207.2
18.9,6.77,21.5,237,37.8,7.19,98.9
29.8,6.44,33.1,31,28.2,7.76,50.0
27.3,6.48,63.0,153,7.7,6.88,221.7
20.4,6.17,46.4,309,17.4,6.79,242.6
18.1,5.21,24.3,103,24.3,8.38,50.0
27.8,5.09,71.4,195,19.1,8.34,215.4
26.5,9.94,71.6,51,34.2,8.27,86.0
26.7,7.14,70.9,183,33.5,7.75,154.8
27.3,6.92,26.7,324,26.4,8.12,219.5
18.9,8.4,41.6,248,18.1,6.64,275.7
22.3,6.09,78.9,186,13.9,7.17,206.0
19.4,9.75,64.0,259,8.7,7.13,312.3
28.4,8.93,11.9,49,17.4,7.77,50.0
25.5,5.45,14.6,70,19.5,7.21,84.6
22.0,7.09,42.5,177,28.7,6.8,145.9
18.8,9.4,73.6,137,28.0,7.69,160.1
21.7,9.72,47.7,113,7.5,8.13,243.5
21.9,7.34,44.8,351,18.8,7.26,311.2
26.8,8.07,17.4,338,11.4,6.76,344.3
25.7,5.84,56.0,319,10.5,6.89,314.3
28.6,9.96,67.5,352,34.0,6.97,309.2
23.7,6.16,36.6,163,6.5,7.1,266.7
19.4,9.71,64.3,236,19.7,7.79,248.4
26.6,8.25,77.5,312,10.9,7.7,320.0
